"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Oct 15 12:03:44 GMT 2024","Tue Oct 15 12:08:38 GMT 2024","293753","","test_e2e_order_flow","","","","test_product_order_negative_flow",""
"passed","Tue Oct 15 11:56:55 GMT 2024","Tue Oct 15 12:02:38 GMT 2024","343069","","test_e2e_order_flow","","","","test_product_order_flow1",""
"passed","Tue Oct 15 12:02:38 GMT 2024","Tue Oct 15 12:03:44 GMT 2024","66457","","test_e2e_order_flow","","","","test_product_order_flow2",""
