"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 15 12:46:57 GMT 2024","Tue Oct 15 12:52:41 GMT 2024","344485","","test_e2e_order_flow","","","","test_product_order_flow1",""
"broken","Tue Oct 15 12:53:48 GMT 2024","Tue Oct 15 12:59:11 GMT 2024","322819","","test_e2e_order_flow","","","","test_product_order_negative_flow",""
"passed","Tue Oct 15 12:52:41 GMT 2024","Tue Oct 15 12:53:48 GMT 2024","66836","","test_e2e_order_flow","","","","test_product_order_flow2",""
